"","PeriodYear","BirdID","D_dam","D_sire","GenCont_Focal","GenContDam","helpers","GenContSire","FSL","FDL","FFL","RainWindow","RainVar","DamRainVar","Sex","LayYear","survival","PeriodStart","PeriodEnd","age","dam","sire","dam_age","sire_age","Dam_RainWindow","yearlytq_corr","yearlytq","helpers_cat","offspring","MeanAgeParent","DeltaAgeParent","lifespan","GroupSize","HelpersF","GenContF2","GenContD2","GenContS2","Focal_RainVarBlood","lGCF","lGCD","lGCS","logratD","logratS","Sire_RainVar","Dam_RainVar"
"288",2009,"3590",0.0161289929153974,-0.0735884492247137,0.0462098583284921,0.0300808654130946,1,0.119798307553206,-0.592948570709805,1.49459702171681,0.563713133754837,129.111111111111,14188.6794172063,14820.5340569878,"0",2005,0,2009.1,2009.9,-0.840592271665572,"2963","1796",-0.809159584010674,3.06027397260277,148.244444444444,5088.5069825,5088.5069825,"1",1,3,1,-1.27568859534113,-0.906845266105482,-0.52640987083009,0.0462098583284921,0.0300808654130946,0.119798307553206,-0.169793757480051,-0.679556713489358,-3.50386600993222,-2.12194572066931,0.890575422306636,-2.04756010655201,-0.182433090422468,-0.224809678397662
"289",2009,"3606",-0.0372532304097038,-0.0181866071118115,0.0363002109855592,0.073553441395263,0,0.0544868180973707,0.550565977824863,0.661062737156338,0.210209418619017,129.111111111111,11430.9340350877,18496.1403694581,"0",2005,0,2009.1,2009.9,-0.840592271665572,"3003","1710",-0.884499205828122,3.2383561643835,137.633333333333,17395.64586,17395.64586,"0",2,4.5,-0.5,-0.524718085568689,1.54281467350413,-0.52640987083009,0.0363002109855592,0.073553441395263,0.0544868180973707,-0.431652313148256,-1.42316878593798,-2.60974304315489,-2.90979647634116,-1.35588485273666,-0.893837836709928,-0.160943570730873,0.227500721395205
"290",2009,"3606",-0.0372532304097038,-0.0181866071118115,0.0363002109855592,0.073553441395263,0,0.0544868180973707,0.550565977824863,0.661062737156338,0.210209418619017,129.111111111111,11430.9340350877,18496.1403694581,"0",2005,0,2009.1,2009.9,-0.840592271665572,"3003","1710",-0.884499205828122,3.2383561643835,137.633333333333,17395.64586,17395.64586,"0",2,4.5,-0.5,-0.524718085568689,0.317984703699325,-0.52640987083009,0.0363002109855592,0.073553441395263,0.0544868180973707,-0.431652313148256,-1.42316878593798,-2.60974304315489,-2.90979647634116,-1.35588485273666,-0.893837836709928,-0.160943570730873,0.227500721395205
"291",2009,"3606",-0.0372532304097038,-0.0181866071118115,0.0363002109855592,0.073553441395263,0,0.0544868180973707,0.550565977824863,0.661062737156338,0.210209418619017,129.111111111111,11430.9340350877,18496.1403694581,"0",2005,0,2009.1,2009.9,-0.840592271665572,"3003","1710",-0.884499205828122,3.2383561643835,137.633333333333,17395.64586,17395.64586,"0",2,4.5,-0.5,-0.524718085568689,0.317984703699325,1.89600723387475,0.0363002109855592,0.073553441395263,0.0544868180973707,-0.431652313148256,-1.42316878593798,-2.60974304315489,-2.90979647634116,-1.35588485273666,-0.893837836709928,-0.160943570730873,0.227500721395205
"292",2009,"3608",-0.0270977462358049,-0.00342483794960517,0.0495109377968988,0.0766086840327037,1,0.052935775746504,-0.77074198500136,0.895078376860172,0.485899415167689,129.111111111111,11053.4634234499,16222.862311522,"0",2005,0,2009.1,2009.9,-0.840592271665572,"1705","1750",-0.283326225895365,3.09041095890393,176.522222222222,36841.143075,36841.143075,"1",1,5,-1,-0.317818047161997,0.317984703699325,-0.52640987083009,0.0495109377968988,0.0766086840327037,0.052935775746504,-0.467494602944688,-0.466979952730072,-2.56904484008817,-2.93867587859494,-0.822365636097217,-0.17761980002592,-0.182433090422468,-0.228367889522449
"293",2009,"3608",-0.0270977462358049,-0.00342483794960517,0.0495109377968988,0.0766086840327037,1,0.052935775746504,-0.77074198500136,0.895078376860172,0.485899415167689,129.111111111111,11053.4634234499,16222.862311522,"0",2005,0,2009.1,2009.9,-0.840592271665572,"1705","1750",-0.283326225895365,3.09041095890393,176.522222222222,36841.143075,36841.143075,"1",1,5,-1,-0.317818047161997,-0.906845266105482,-0.52640987083009,0.0495109377968988,0.0766086840327037,0.052935775746504,-0.467494602944688,-0.466979952730072,-2.56904484008817,-2.93867587859494,-0.822365636097217,-0.17761980002592,-0.182433090422468,-0.228367889522449
"294",2010,"1042",0.0369417768094009,0.0361918302891299,0.0828562802514824,0.0459145034420814,0,0.0466644499623525,-0.889299915360808,-1.44101056432007,-0.132341679334889,115.133333333333,17982.5829722443,24266.2541121751,"0",1996,0,2010.1,2010.9,2.17602595653386,"1043","559",-1.01624296229586,2.94656037128516,125.733333333333,25069.71699,25069.71699,"0",0,10.5,3.5,2.20211831804772,0.317984703699325,1.89600723387475,0.0828562802514824,0.0459145034420814,0.0466644499623525,0.190452011294839,1.11936815413273,-3.08097423269622,-3.06477264697587,1.20914279974466,1.17567174735628,-1.39157033420147,-0.686134291950348
"295",2010,"1042",0.0369417768094009,0.0361918302891299,0.0828562802514824,0.0459145034420814,0,0.0466644499623525,-0.889299915360808,-1.44101056432007,-0.132341679334889,115.133333333333,17982.5829722443,24266.2541121751,"0",1996,0,2010.1,2010.9,2.17602595653386,"1043","559",-1.01624296229586,2.94656037128516,125.733333333333,25069.71699,25069.71699,"0",0,10.5,3.5,2.20211831804772,-0.906845266105482,-0.52640987083009,0.0828562802514824,0.0459145034420814,0.0466644499623525,0.190452011294839,1.11936815413273,-3.08097423269622,-3.06477264697587,1.20914279974466,1.17567174735628,-1.39157033420147,-0.686134291950348
"296",2010,"1042",0.0369417768094009,0.0361918302891299,0.0828562802514824,0.0459145034420814,0,0.0466644499623525,-0.889299915360808,-1.44101056432007,-0.132341679334889,115.133333333333,17982.5829722443,24266.2541121751,"0",1996,0,2010.1,2010.9,2.17602595653386,"1043","559",-1.01624296229586,2.94656037128516,125.733333333333,25069.71699,25069.71699,"0",0,10.5,3.5,2.20211831804772,2.76764464330894,-0.52640987083009,0.0828562802514824,0.0459145034420814,0.0466644499623525,0.190452011294839,1.11936815413273,-3.08097423269622,-3.06477264697587,1.20914279974466,1.17567174735628,-1.39157033420147,-0.686134291950348
"297",2010,"1042",0.0369417768094009,0.0361918302891299,0.0828562802514824,0.0459145034420814,0,0.0466644499623525,-0.889299915360808,-1.44101056432007,-0.132341679334889,115.133333333333,17982.5829722443,24266.2541121751,"0",1996,0,2010.1,2010.9,2.17602595653386,"1043","559",-1.01624296229586,2.94656037128516,125.733333333333,25069.71699,25069.71699,"0",0,10.5,3.5,2.20211831804772,-0.906845266105482,-0.52640987083009,0.0828562802514824,0.0459145034420814,0.0466644499623525,0.190452011294839,1.11936815413273,-3.08097423269622,-3.06477264697587,1.20914279974466,1.17567174735628,-1.39157033420147,-0.686134291950348
